"District.Name","School.Name","math_ALL","math_FRP","reading_ALL","reading_FRP"
"Richfield Public School District","Richfield College Experience Program",NA,NA,NA,NA
"Robbinsdale Public School District","Forest Elementary",18.13,9.21,32.35,23.02
"Robbinsdale Public School District","Lakeview Elementary",16.66,11.5,23.61,17.69
"Robbinsdale Public School District","School Of Engineering-Arts At Olson",60.63,50,61.99,48.71
"Robbinsdale Public School District","Meadow Lake Elementary",16.16,13.52,24.74,22.35
"Robbinsdale Public School District","Neill Elementary",32.31,25.8,41.81,32.8
"Robbinsdale Public School District","Robbinsdale Spanish Immersion El.",41.14,19,46.57,29.75
"Robbinsdale Public School District","Noble Elementary",18.8,9.41,20.51,12.94
"Robbinsdale Public School District","Northport Elementary",25.25,23.27,32.98,30.81
"Robbinsdale Public School District","Fair School Pilgrim Lane",54,30.12,57.5,39.75
"Robbinsdale Public School District","Sonnesyn Elementary",17.05,9.57,31,22.34
"Robbinsdale Public School District","Zachary Lane Elementary",55.88,29.48,62.74,50
"Robbinsdale Public School District","Plymouth Middle",23.92,11.52,41.54,24.49
"Robbinsdale Public School District","Robbinsdale Middle",12.28,8.54,27.87,23.36
"Robbinsdale Public School District","Sandburg Middle School",12.1,6.1,30.25,18.77
"Robbinsdale Public School District","Robbinsdale Cooper Senior High",8.89,8.54,30.03,23.89
"Robbinsdale Public School District","Robbinsdale Armstrong Senior High",23.18,11.94,54.03,43.52
"Robbinsdale Public School District","Highview Alc",0,0,NA,NA
"Robbinsdale Public School District","Robbinsdale Virtual Academy",8.21,5.76,23.8,20
"Robbinsdale Public School District","The Fair School - Crystal",27.29,12.75,50.58,34.18
"St. Anthony-New Brighton Schools","St. Anthony Village Senior High",30.71,14,52.33,33.33
"St. Anthony-New Brighton Schools","Wilshire Park Elementary",56.32,31.06,56.89,33
"St. Anthony-New Brighton Schools","St. Anthony Middle",44.82,23.23,59.08,39.43
"St. Louis Park Public School District","St. Louis Park Senior High",29.32,8.59,46.06,25.35
"St. Louis Park Public School District","St. Louis Park Middle School",36.87,12.29,50.69,25.41
"St. Louis Park Public School District","Aquila Elementary",54,36.36,47.8,28.18
"St. Louis Park Public School District","Peter Hobart Elementary",51.26,26.92,47.89,28.84
"St. Louis Park Public School District","Susan Lindgren Elementary",56.3,25.26,54.2,30.52
"St. Louis Park Public School District","Park Spanish Immersion Elementary",76.28,43.75,70.35,34.37
"Wayzata Public School District","Wayzata High",53.53,34.74,66.49,41.55
"Wayzata Public School District","Wayzata West Middle",66.91,36.36,67.64,40
"Wayzata Public School District","Wayzata East Middle",64.56,33.33,72.88,43.05
"Wayzata Public School District","Wayzata Central Middle",67.27,26.97,68.7,36.84
"Wayzata Public School District","North Woods Elementary School",81.9,NA,78.64,NA
"Wayzata Public School District","Meadow Ridge Elementary School",80.31,47.72,77.46,45.45
"Wayzata Public School District","Birchview Elementary",64.81,34.48,66.66,43.1
"Wayzata Public School District","Greenwood Elementary",73.64,28.2,68.7,28.2
"Wayzata Public School District","Oakwood Elementary",68.66,40,64.8,33.33
"Wayzata Public School District","Sunset Hill Elementary",69.18,42.04,66.66,40.9
"Wayzata Public School District","Plymouth Creek Elementary",83.97,54.28,78.04,48.57
"Wayzata Public School District","Gleason Lake Elementary",78.94,64,75.32,54
"Wayzata Public School District","Kimberly Lane Elementary",80.57,58.06,77.33,61.29
"Brooklyn Center Community Schools","Brooklyn Center Middle School",4.4,3.7,11.32,9.62
"Brooklyn Center Community Schools","Brooklyn Center High School",3.84,3.48,20.61,19.09
"Brooklyn Center Community Schools","Insight School Of Minnesota",0.88,1.2,3.96,1.94
"Brooklyn Center Community Schools","Brooklyn Center Elementary School",6.1,4.94,11.25,9.88
"Intermediate School District 287","Tier Two",6.29,3.48,7.63,5.49
"Intermediate School District 287","Tier Three",2.19,3.63,1.25,0
"Southwest Metro Intermediate 288","Sw Metro Rvec Level 4",1.72,2.94,1.72,2.94
"Southwest Metro Intermediate 288","Sw Metro 288 Elevate Online",0,NA,0,NA
"Houston Public School District","Minnesota Virtual Academy Elementary",6.01,4.95,14.2,12.39
"Houston Public School District","Houston Elementary",60.18,49.01,60.18,45.09
"Houston Public School District","Minnesota Virtual Academy Middle School",3.25,2.8,13.02,10.11
"Houston Public School District","Minnesota Virtual Academy High School",2.7,1.31,9.86,7.59
"Houston Public School District","Houston Secondary",17.27,15.78,30.63,27.02
"Spring Grove School District","Spring Grove Elementary",68.18,52.94,64.54,52.94
"Spring Grove School District","Spring Grove Secondary",23.45,13.04,50.74,56
"Caledonia Public School District","Caledonia Elementary",67.88,61.53,71.53,71.79
"Caledonia Public School District","Caledonia Middle",51.82,35.29,61.31,38.23
"Caledonia Public School District","Caledonia Senior High",39.28,NA,66.66,NA
"La Crescent-Hokah School District","La Crescent-Hokah Elementary",65.71,38.88,52.85,33.33
"La Crescent-Hokah School District","La Crescent Senior High",14.1,9.52,54.87,NA
"La Crescent-Hokah School District","La Crescent-Hokah Middle School",28.85,13.55,48.52,25.42
"Laporte Public School District","Laporte Elementary",33.76,23.4,29.87,23.4
"Laporte Public School District","Laporte Secondary",19.23,NA,46.15,NA
"Laporte Public School District","Laporte Middle School",18.98,12.76,34.17,27.65
"Nevis Public School District","Nevis Elementary",48.31,40.5,54.49,46.83
"Nevis Public School District","Nevis Secondary",56.34,47.05,57.81,43.1
"Park Rapids Public School District","Park Rapids Area Century Elementary",43.27,32.06,42.37,32.06
"Park Rapids Public School District","Park Rapids Area High School",23.65,21.05,39,28.88
"Park Rapids Public School District","Park Rapids Area Century Middle",30.66,19.58,35.11,23.71
"Braham Public School District","Braham Area Secondary",27.22,24,43.93,39.39
"Braham Public School District","Braham Elementary",59.01,39.6,55.32,40.59
"Greenway Public School District","Vandyke Elementary",56.49,48.91,43.5,39.13
"Greenway Public School District","Greenway Middle",34.45,32.52,39.49,36.58
"Greenway Public School District","Greenway Senior High",21.51,8.1,44.44,40
"Deer River Public School District","Deer River Secondary",15.21,10,35.71,26.97
"Deer River Public School District","King Elementary",60.49,51.81,51.23,45.45
"Grand Rapids Public School District","Cohasset Elementary",54.48,42,62.17,46
"Grand Rapids Public School District","Bigfork Elementary",48.1,36.73,53.16,44.89
"Grand Rapids Public School District","East Rapids Elementary",61.3,49.65,58.69,50.68
"Grand Rapids Public School District","Bigfork Secondary",28.07,20,47.69,58.06
"Grand Rapids Public School District","Grand Rapids Senior High",30.12,21.11,45.95,29.7
"Grand Rapids Public School District","Grand Rapids Area Learning Center",0,0,NA,NA
"Grand Rapids Public School District","Robert J. Elkington Middle School",40.3,29.18,53.65,43.41
"Nashwauk-Keewatin School District","Keewatin-Nashwauk Elementary School",32.16,22.58,42.69,35.48
"Nashwauk-Keewatin School District","Nashwauk Secondary",29.62,16.36,36.44,23.07
"Heron Lake-Okabena School District","Heron Lake-Okabena Elementary",39.7,23.52,42.64,35.29
"Heron Lake-Okabena School District","Heron Lake-Okabena Secondary",21.31,16.66,29.82,26.08
"Mora Public Schools","Mora Elementary School",60,48.05,63.29,57.28
"Mora Public Schools","Mora High School",40.93,30.82,58.15,43.93
"Ogilvie Public School District","Ogilvie Elementary",31.34,25,36.56,28.33
"Ogilvie Public School District","Ogilvie Secondary",38.94,27.58,32.95,21.42
"New London-Spicer School District","Prairie Woods Elementary",66.92,50,55.29,41.33
"New London-Spicer School District","New London-Spicer Middle",49.88,38.61,59.38,41.58
"New London-Spicer School District","New London-Spicer Sr.",32.75,20,58.09,41.66
"Willmar Public School District","Roosevelt Elementary",52.82,40.25,34.67,24.52
"Willmar Public School District","Kennedy Elementary",40.95,31.28,32.84,26.25
"Willmar Public School District","Lakeland Elementary School",28.67,22.48,25.43,16.66
"Willmar Public School District","Willmar Senior High",24.55,10.93,39.16,30.32
"Willmar Public School District","Willmar Middle School",48.43,37.74,42.96,34.64
"Willmar Public School District","Willmar Area Learning Center",0,0,0,NA
"Lancaster Public School District","Lancaster Elementary",46.47,42.22,43.66,40
"Lancaster Public School District","Lancaster Secondary",15,NA,31.42,NA
"International Falls School District","Falls High",20.72,14.54,41.85,35.29
"International Falls School District","Falls Elementary",40.76,28.08,51.08,41.57
"Littlefork-Big Falls School District","Littlefork-Big Falls Elementary",38.33,25.92,36.66,24.07
"Littlefork-Big Falls School District","Littlefork-Big Falls Secondary",29.62,23.52,27.47,20.51
"South Koochiching School District","Northome Secondary",11.9,10,28,23.07
"South Koochiching School District","Northome Elementary",25.86,30,41.37,37.5
"Dawson-Boyd Public School District","Stevens Elementary",60.24,50.72,60.24,57.97
"Dawson-Boyd Public School District","Dawson-Boyd Secondary",14.5,10.2,42.85,31.37
"Lake Superior Public School District","William Kelley Elementary",29.41,22.22,25,11.11
"Lake Superior Public School District","Minnehaha Elementary",57.89,54.68,53.21,53.12
"Lake Superior Public School District","Wm. M. Kelley Secondary",25.51,16,34.65,37.5
"Lake Superior Public School District","Two Harbors Secondary",23.3,16.83,42.68,38.67
"Lake Of The Woods School District","Lake Of The Woods Secondary",24.44,15.21,39.69,27.65
"Lake Of The Woods School District","Lake Of The Woods Elementary",33.68,24.32,34.73,24.32
"Cleveland Public School District","Cleveland Elementary",56.5,38.77,57.84,44.89
"Cleveland Public School District","Cleveland Secondary",33.33,NA,43.51,27.27
"Hendricks Public School District","Hendricks Elementary",59.45,NA,62.16,NA
"Hendricks Public School District","Hendricks High School",14.28,NA,21.05,NA
"Hendricks Public School District","MnVss",0,NA,0,NA
"Ivanhoe Public School District","Lincoln Elementary - Ivanhoe",65.71,NA,71.42,NA
"Lake Benton Public School District","Lake Benton Elementary",72.54,NA,70.58,NA
"Marshall Public School District","Marshall High School",43.9,24.09,48.68,39.79
"Marshall Public School District","Park Side Elementary",NA,NA,NA,NA
"Marshall Public School District","Marshall Middle School",51.51,39.67,46.06,36.68
"Marshall Public School District","Southview Elementary",44.17,29.62,46.26,33.33
"Minneota Public School District","Minneota Elementary",68.05,68.75,72.22,68.75
"Minneota Public School District","Minneota Secondary",55.24,42.85,60.54,54.76
"Lynd Public School District","Lynd Elementary",25.8,10,38.7,25
"Lynd Public School District","Lynd Middle School",11.86,6.66,38.98,26.66
"Hutchinson Public School District","Hutchinson Park Elementary",64.34,47.32,61.83,47.32
"Hutchinson Public School District","Hutchinson Middle",52.34,34.44,53.51,38.33
"Hutchinson Public School District","Hutchinson Tiger Elementary",70,52.63,51.42,46.05
"Hutchinson Public School District","Hutchinson Senior High",24.39,13.33,45.81,37.31
"Lester Prairie Public School District","Lester Prairie Elementary",46.76,33.33,35.97,22.91
"Lester Prairie Public School District","Lester Prairie Secondary",42.45,29.62,34.9,28
"Mahnomen Public School District","Mahnomen Elementary",13.37,13.84,22.92,22.3
"Mahnomen Public School District","Mahnomen Secondary",18.83,15.88,25,24.13
"Waubun-Ogema-White Earth Schools","Waubun Elementary",20.88,17.43,31.44,24.54
"Waubun-Ogema-White Earth Schools","Ogema Elementary",42.85,44.73,26.78,31.57
"Waubun-Ogema-White Earth Schools","Waubun Secondary",16.42,10.97,34.02,25.28
"Marshall County Central Schools","Newfolden Elementary",57.57,48.14,46.96,40.74
"Marshall County Central Schools","Marshall County Central High",18.1,13.63,54.23,40.47
"Marshall County Central Schools","Marshall County Central Middle School",45.33,26.92,55.26,33.33
"Grygla Public School District","Grygla Elementary",48.71,NA,43.58,NA
"Grygla Public School District","Grygla Secondary",34.61,NA,27.27,NA
"Truman Public School District","Truman Elementary",35.82,26.47,35.82,23.52
"Truman Public School District","Truman Secondary",25,27.27,33.33,35.71
"Eden Valley-Watkins School District","Eden Valley Elementary",64.63,53.01,53.25,42.16
"Eden Valley-Watkins School District","Eden Valley Secondary",51.44,41.3,48.4,35
"Litchfield Public School District","Lake Ripley Elementary",60.69,50.46,46.28,37.38
"Litchfield Public School District","Litchfield Middle School",45.32,32.78,51.97,44.8
"Litchfield Public School District","Litchfield Senior High",42.47,30.76,54.12,45.94
"Dassel-Cokato Public School District","Cokato Elementary",80.12,70.37,62.11,59.25
"Dassel-Cokato Public School District","Dassel-Cokato Senior High",26.66,NA,34,27.27
"Dassel-Cokato Public School District","Dassel Elementary",80.13,64.44,67.54,55.55
"Dassel-Cokato Public School District","Dassel-Cokato Middle",54.7,38.06,62.52,54.54
"Isle Public School District","Isle Elementary",51.88,43.54,47.16,37.09
"Isle Public School District","Isle Secondary",23.71,19.6,32.97,30.9
"Princeton Public School District","Princeton Intermediate School",54.35,44.9,48.19,36.98
"Princeton Public School District","Princeton Middle School",36.94,23.98,47.22,36.19
"Princeton Public School District","Princeton High School",45.58,34.78,46.12,40.78
"Princeton Public School District","Princeton Online Mn",NA,NA,8.69,NA
"Princeton Public School District","Princeton Online Mn K-5",5.88,NA,20.58,NA
"Princeton Public School District","Princeton Online Mn 6-8",6.89,NA,24.13,NA
"Onamia Public School District","Onamia High School",11.49,12.12,21.68,21.05
"Onamia Public School District","Onamia Elementary School",16.26,15.21,29.26,28.26
"Little Falls Community Schools","Lindbergh Elementary",49.56,40.56,41.92,36.61
"Little Falls Community Schools","Knight Elementary",35,30.76,43.33,38.46
"Little Falls Community Schools","Community Middle",27.91,21,41.04,32.42
"Little Falls Community Schools","Little Falls Senior High",22.67,15.62,35.92,25.75
"Little Falls Community Schools","Little Falls Continuing Education",0,NA,NA,NA
"Pierz Public School District","Pioneer Elementary",73.15,63.55,66.66,58.87
"Pierz Public School District","Healy Secondary",53,30.37,58.9,47.67
"Royalton Public School District","Royalton Elementary",61.61,56.16,56.87,57.53
"Royalton Public School District","Royalton High School",29.09,NA,33.33,29.16
"Royalton Public School District","Royalton Middle School",36.31,23.8,42.78,33.33
"Swanville Public School District","Swanville Elementary",28.44,30.18,29.31,28.3
"Swanville Public School District","Swanville Secondary",37.87,25.92,37.5,38.23
"Upsala Public School District","Upsala Elementary",52.42,38.88,43.68,38.88
"Upsala Public School District","Upsala Secondary",26.15,NA,63.88,NA
"Austin Public School District","Banfield Elementary",37.55,28.68,24.41,21.7
"Austin Public School District","Neveln Elementary",37.98,30.48,34.88,31.7
"Austin Public School District","Southgate Elementary",39.5,29.32,36.62,26.31
"Austin Public School District","Sumner Elementary",28.57,27.08,16.8,14.58
"Austin Public School District","Austin Online Academy",5,NA,NA,NA
"Austin Public School District","Austin Senior High",15.36,10.65,38.26,30.2
"Austin Public School District","I.J. Holton Intermediate School",19.82,11.25,36.33,26.93
"Austin Public School District","Ellis Middle",22.94,13.35,32.35,25.69
"Grand Meadow Public School District","Grand Meadow Elementary",63.63,NA,51.51,NA
"Grand Meadow Public School District","Grand Meadow Middle",25.78,14.28,55.46,51.42
"Grand Meadow Public School District","Grand Meadow Senior High",15.78,NA,60.52,NA
"Lyle Public School District","Lyle Elementary",26.19,21.73,28.57,26.08
"Lyle Public School District","Lyle Middle",9,6.66,29,26.66
"Leroy-Ostrander Public Schools","Leroy Elementary",37.5,22.72,37.5,27.27
"Leroy-Ostrander Public Schools","Leroy Secondary",16.66,4.34,26.66,27.27
"Southland Public School District","Southland Elementary",43.56,37.77,53.46,46.66
"Southland Public School District","Southland Senior High",23.91,NA,75,NA
"Southland Public School District","Southland Middle",38.23,31.57,42.15,28.94
"Fulda Public School District","Fulda Elementary",57.79,50.76,57.79,49.23
"Fulda Public School District","Fulda Secondary",24.05,22.85,38.35,38.7
"Nicollet Public School District","Nicollet Elementary School",59.55,NA,58.42,NA
"Nicollet Public School District","Nicollet High School",38.46,NA,49.27,NA
"St. Peter Public School District","North Elementary School",73.4,60.78,58.51,43.13
"St. Peter Public School District","St. Peter High School",34.09,15.38,50,32.72
"St. Peter Public School District","South Elementary School",NA,NA,NA,NA
"St. Peter Public School District","St. Peter Middle School",40.41,21.73,55.65,41.3
"Adrian Public School District","Adrian Elementary",73.01,65.21,50.79,50
"Adrian Public School District","Adrian Middle",44.69,35.29,50.75,47.05
"Adrian Public School District","Adrian Secondary",27.77,NA,47.05,NA
"Ellsworth Public School District","Ellsworth Elementary",61.36,56.52,59.09,47.82
"Ellsworth Public School District","Ellsworth Secondary",37.03,NA,40.74,NA
"Worthington Public School District","Prairie Elementary",NA,NA,NA,NA
"Worthington Public School District","Worthington Middle",29.84,23.88,33.75,28.79
"Worthington Public School District","Learning Center",0,0,NA,NA
"Worthington Public School District","Worthington Senior High",13,9.86,28.62,24.56
"Worthington Public School District","Intermediate School",30.45,26.27,33.08,29.32
"Worthington Public School District","Virtual Instruction By Excellence Elementary",7.71,7.54,9.82,7.54
"Worthington Public School District","Virtual Instruction By Excellence Secondary",5.26,6.52,8.16,8.69
"Byron Public School District","Byron Intermediate School",78.26,64.36,67.95,55.17
"Byron Public School District","Byron Senior High School",53.16,NA,73.8,59.37
"Byron Public School District","Byron Middle School",54.27,37.36,66.49,49.45
"Dover-Eyota Public School District","Dover-Eyota Elementary",65.71,42,57.14,44
"Dover-Eyota Public School District","Dover-Eyota Middle School",34.61,22.44,41.88,30.61
"Dover-Eyota Public School District","Dover-Eyota High School",11.59,NA,53.52,NA
"Stewartville Public School District","Bear Cave Intermediate School",61.41,39.09,57.07,36.36
"Stewartville Public School District","Stewartville Middle",39.49,23.42,46.54,28.57
"Stewartville Public School District","Stewartville Senior High",29.93,NA,40.65,20
"Rochester Public School District","Bamber Valley Elementary School",65.17,42.85,58.46,33.92
"Rochester Public School District","Bishop Elementary School",61.47,37.62,47.47,25.74
"Rochester Public School District","Elton Hills Elementary School",52.66,36.36,44.66,29.54
"Rochester Public School District","Folwell Elementary School",67.04,57.14,69.88,39.28
"Rochester Public School District","Franklin Elementary School",41,32.57,37.76,28.03
"Rochester Public School District","Gage Elementary School",16.07,8.62,19.04,13.79
"Rochester Public School District","Gibbs Elementary School",59.02,38.79,55.58,41.37
"Rochester Public School District","Hoover Elementary School",42.72,19.78,44.54,24.17
"Rochester Public School District","Jefferson Elementary School",67.85,46.83,68.65,45.56
"Rochester Public School District","Lincoln K-8 School",62.46,34.28,56.61,32.85
"Rochester Public School District","Longfellow Elementary School",59.85,44,45.98,22
"Rochester Public School District","Overland Elementary School",46.95,36.92,49.46,36.92
"Rochester Public School District","Pinewood Elementary School",29.52,17.77,31.42,14.44
"Rochester Public School District","Riverside Central Elementary School",33.6,20.64,30.76,18.7
"Rochester Public School District","Sunset Terrace Elementary School",45.62,31.35,36.4,18.64
"Rochester Public School District","Washington Elementary School",71.42,30.76,69.56,38.46
"Rochester Public School District","MnSync Online Elementary",6.97,14.28,18.6,23.8
"Rochester Public School District","MnSync Online Secondary",0.75,1.38,8.24,7.4
"Rochester Public School District","Century High School",36.87,14.58,55.96,35.13
"Rochester Public School District","Rochester Alternative Learning Center",0,0,7.84,5.12
"Rochester Public School District","John Marshall High School",25.84,13.07,46.53,26.66
"Rochester Public School District","Mayo High School",35.23,17.11,56.91,28.92
"Rochester Public School District","John Adams Middle School",29.73,8.38,44.48,19.03
"Rochester Public School District","Dakota Middle School",27.22,14.73,47.27,33.23
"Rochester Public School District","P-Tech 535",11.76,NA,57.69,NA
"Rochester Public School District","Willow Creek Middle School",36.3,15.38,43.18,23.74
"Rochester Public School District","Kellogg Middle School",36.87,13.54,46.61,26.04
"Rochester Public School District","Rochester Phoenix Academy",0,NA,12.9,9.52
"Battle Lake Public School District","Battle Lake Elementary",68.29,57.89,66.66,52.63
"Battle Lake Public School District","Battle Lake Secondary",55.26,35,55.55,31.81
"Fergus Falls Public School District","Adams Elementary",70.83,50,53.12,31.25
"Fergus Falls Public School District","Cleveland Elementary",62.92,57.34,61.51,53.84
"Fergus Falls Public School District","McKinley Elementary",64.17,39.28,52.23,35.71
"Fergus Falls Public School District","Iq Academy 9-12",3.03,3.77,15.71,17.64
"Fergus Falls Public School District","Iq Academy 6-8",5.96,2.24,12.58,5.61
"Fergus Falls Public School District","Iq Academy K-5",12.08,7.4,15.38,11.11
"Fergus Falls Public School District","Fergus Falls Area Learning Center",0,NA,NA,NA
"Fergus Falls Public School District","Kennedy Middle School",51.09,30.45,59.56,41.62
"Fergus Falls Public School District","Kennedy High School",24.71,16.98,46.02,44.23
"Henning Public School District","Henning Elementary",62.62,51.85,59,45.45
"Henning Public School District","Henning Secondary",30.61,20.58,48.83,30
"Parkers Prairie Public School District","Parkers Prairie Elementary",53.28,47.72,54.01,47.72
"Parkers Prairie Public School District","Parkers Prairie Secondary",31.97,30.61,38.33,29.54
"Pelican Rapids Public School District","Viking Elementary School",52.58,40.57,49.35,41
"Pelican Rapids Public School District","Pelican Rapids Secondary",40.12,26.37,52.63,39.17
"Perham-Dent Public School District","Heart Of The Lake Elementary",60.55,42.04,46.33,28.4
"Perham-Dent Public School District","Prairie Wind Middle",42.33,27.32,55.36,44.26
"Perham-Dent Public School District","Perham Senior High",32.57,19.14,64.39,60
"Underwood Public School District","Underwood Elementary",48.21,38.35,55.35,47.94
"Underwood Public School District","Underwood Secondary",41.02,39.47,38.21,26.66
"New York Mills Public School District","New York Mills Elementary",66.91,55.55,59.85,51.28
"New York Mills Public School District","New York Mills Secondary",56.06,48,50.54,44.57
"Goodridge Public School District","Goodridge Elementary",36.84,31.7,34.21,26.82
"Goodridge Public School District","Goodridge Secondary",25,NA,27.86,27.27
"Thief River Falls School District","Challenger Elementary",53.48,44.68,50.27,42.95
"Thief River Falls School District","Franklin Middle",36.11,21.87,41.66,26.25
"Thief River Falls School District","Lincoln Senior High",20.16,12.19,45,35.41
"Willow River Public School District","Willow River Elementary",46.87,32.2,50,35.59
"Willow River Public School District","Willow River Secondary",25,20.51,47.87,41.02
"Pine City Public School District","Pine City Elementary",42.03,33.33,40.95,31
"Pine City Public School District","Pine City Secondary",31.48,24,40.48,32.35
"Edgerton Public School District","Edgerton Secondary",40,34.48,33.33,28.33
"Edgerton Public School District","Edgerton Elementary",38.55,23.52,44.57,26.47
"Climax-Shelly Public Schools","Climax Elementary",16.12,16,16.12,12
"Climax-Shelly Public Schools","Climax Secondary",10.16,6.25,24.48,18.51
"Crookston Public School District","Highland Elementary",54.01,41.86,52.67,42.63
"Crookston Public School District","Crookston Secondary",31.01,21.73,45.24,34.56
"East Grand Forks Public Schools","South Point Elementary",39.37,29.87,38.57,32.9
"East Grand Forks Public Schools","Central Middle",47.03,29.71,52.52,39.13
"East Grand Forks Public Schools","East Grand Forks Senior High",29.33,20.4,35.63,32.81
"Fertile-Beltrami School District","Fertile-Beltrami Elementary",61.48,59.67,60,61.29
"Fertile-Beltrami School District","Fertile-Beltrami Secondary",36.93,27.5,43.24,22.22
"Fisher Public School District","Fisher Elementary",32.78,20.68,36.06,31.03
"Fisher Public School District","Fisher Secondary",18.51,13.33,36.53,26.92
"Fosston Public School District","Magelssen Elementary",49.1,39.74,58.08,50
"Fosston Public School District","Fosston Secondary",40.9,29.72,48.83,50
"Mounds View Public School District","Bel Air Elementary",62,37.26,55.99,36.64
"Mounds View Public School District","Island Lake Elementary",68.24,30,61.26,32.5
"Mounds View Public School District","Pinewood Elementary",48.82,33.33,41.07,25.64
"Mounds View Public School District","Sunnyside Elementary",54.72,32.23,40.54,27.63
"Mounds View Public School District","Turtle Lake Elementary",70.85,33.33,67.63,32.22
"Mounds View Public School District","Valentine Hills Elementary",53.03,28.21,50.56,30.69
"Mounds View Public School District","Mounds View Alc",0,NA,NA,NA
"Mounds View Public School District","Mounds View Senior High",44.52,19.35,52.79,29.06
"Mounds View Public School District","Irondale Senior High",25.6,16.94,42.4,25.71
"Mounds View Public School District","Edgewood Middle School",40.33,24.23,44.29,30.03
"Mounds View Public School District","Highview Middle School",45.73,23.93,54.06,33.66
"Mounds View Public School District","Chippewa Middle School",60.67,34.1,67,42.77
"North St. Paul-Maplewood Oakdale Public School District","Carver Elementary",34.27,24.23,39.24,30.38
"North St. Paul-Maplewood Oakdale Public School District","Castle Elementary",33.06,30.23,35.34,29.47
"North St. Paul-Maplewood Oakdale Public School District","Cowern Elementary",31.77,23.01,29.01,22.83
"North St. Paul-Maplewood Oakdale Public School District","Eagle Point Elementary",63.54,55.8,57.55,54.01
"North St. Paul-Maplewood Oakdale Public School District","Justice Alan Page Elementary School",29.44,25.68,26.11,22.95
"North St. Paul-Maplewood Oakdale Public School District","Richardson Elementary",30.03,25.62,27.47,23.11
"North St. Paul-Maplewood Oakdale Public School District","Weaver Elementary",38.88,30.49,38.38,29.07
"North St. Paul-Maplewood Oakdale Public School District","Webster K-12",3.84,4.34,6.25,6.89
"North St. Paul-Maplewood Oakdale Public School District","622 Online High School",0,NA,NA,NA
"North St. Paul-Maplewood Oakdale Public School District","Skyview Middle School",34.7,28.66,36.1,30.39
"North St. Paul-Maplewood Oakdale Public School District","John Glenn Middle",24.37,17.59,30.87,21.78
"North St. Paul-Maplewood Oakdale Public School District","North Senior High",13.62,8.6,26.3,21.45
"North St. Paul-Maplewood Oakdale Public School District","Tartan Senior High",8.02,5.77,31.54,27.79
"Roseville Public School District","Roseville Area Senior High",25.66,11.31,39.28,25.58
"Roseville Public School District","Roseville Area Middle",33.07,15.21,43.51,26.01
"Roseville Public School District","Parkview Center School",51.82,30.11,60.12,38.63
"Roseville Public School District","Harambee Elementary School",18.46,14.44,24.61,21.11
"Roseville Public School District","Brimhall Elementary",43.18,26.66,50.33,31.11
"Roseville Public School District","Central Park Elementary",32.11,23.66,29.14,21.17
"Roseville Public School District","Edgerton Elementary",39.14,32,40,32.57
"Roseville Public School District","Falcon Heights Elementary",64.6,36.2,73.25,50
"Roseville Public School District","Little Canada Elementary",19.28,9.67,26.44,17.05
"Roseville Public School District","Williams Elementary",53.44,30.68,61.94,39.77
"White Bear Lake School District","Central Middle",51.36,31.31,57.01,43.95
"White Bear Lake School District","Mariner Middle School",32.98,18.36,42.62,29.15
"White Bear Lake School District","White Bear Lake Area High School",20.27,11.94,40.25,25.74
"White Bear Lake School District","Oneka Elementary School",49.3,38.29,53.95,51.06
"White Bear Lake School District","North Star Elementary",55.46,33.92,50.84,30.35
"White Bear Lake School District","Birch Lake Elementary",42.85,34.88,33.33,23.25
"White Bear Lake School District","Otter Lake Elementary",69.16,58.49,60.83,39.62
"White Bear Lake School District","Lakeaires Elementary",34.03,16.3,45.02,28.26
"White Bear Lake School District","Lincoln Elementary",71.37,51.56,71.01,54.68
"White Bear Lake School District","Matoska International",57.49,36,57.49,45.33
"White Bear Lake School District","Vadnais Heights Elementary",58.24,43.67,53.6,36.78
"White Bear Lake School District","Willow Lane Elementary",33.59,26.74,44.53,37.2
"White Bear Lake School District","White Bear Area Learning Center",0,NA,NA,NA
"Saint Paul Public Schools","Saint Paul Online High School",0,0,3.38,2.08
"Saint Paul Public Schools","Central Senior High",24.18,7.14,51.45,25.31
"Saint Paul Public Schools","Creative Arts Secondary School",6.19,3.01,23.93,18.78
"Saint Paul Public Schools","Como Park Senior High",5.55,1.31,27.89,15.09
"Saint Paul Public Schools","Harding Senior High",5.88,6.53,21.61,18.81
"Saint Paul Public Schools","Highland Park Senior High",16.94,4.16,30.99,19.14
"Saint Paul Public Schools","Humboldt High School",4.77,4.7,16.89,17.53
"Saint Paul Public Schools","Johnson Senior High",6.16,4.79,25,23.92
"Saint Paul Public Schools","Open World Learning Secondary",41.32,26.25,61.64,36.9
"Saint Paul Public Schools","Washington Technology Senior High",14.57,15.34,33.03,31.69
"Saint Paul Public Schools","Saint Paul Online Middle School",5.03,5.18,17.61,17.03
"Saint Paul Public Schools","Battle Creek Middle",10.82,9.65,14.25,13.27
"Saint Paul Public Schools","Farnsworth Aerospace Upper",14.34,12.65,27.83,25.06
"Saint Paul Public Schools","Txuj Ci Hmong Language And Culture Upper",24.17,21.56,35.22,31.59
"Saint Paul Public Schools","Highland Park Middle School",25.37,9.35,42.29,22.59
"Saint Paul Public Schools","Murray Middle School",26.35,9.64,40.78,22.04
"Saint Paul Public Schools","Hidden River Middle School",33.22,6,43.28,16.96
"Saint Paul Public Schools","E-Stem Middle School",14.34,13.68,29.29,29.05
