District,enrollment25,perc_frp25,math19,reading19,math22,reading22,math25,reading25,math_perc_pt_19_25,reading_perc_pt_19_25,filter_helper,color_by
Detroit Lakes Public School Dist.,2728,37.06%,55.39,61.05,44.76,54.11,48.41,51.69,-0.0698,-0.0936,-0.0698,0
Bagley Public School District,870,57.47%,45.54,49.82,23.63,30,27.23,29.58,-0.1831,-0.2024,-0.1831,0
Aitkin Public School District,989,44.29%,56.65,57.84,56.26,52.14,59.79,54.78,0.0314,-0.0306,0.0314,1
Sauk Centre Public School District,1104,35.96%,59.93,62.87,39.34,40.65,42.78,42.05,-0.1715,-0.2082,-0.1715,0
Le Sueur-Henderson School District,908,37.67%,46.32,59.67,45.54,52.62,48.15,50,0.0466,0.059,0.059,1
Waseca Public School District,1752,44.69%,47.14,54.92,36.67,43.57,39.84,46.91,-0.073,-0.0801,-0.073,0
Waconia Public School District,3984,12.40%,70.44,70.52,61.69,63.26,64.76,62.85,-0.0568,-0.0767,-0.0568,0
Little Falls Public School District,2424,42.04%,42.26,48.11,33.45,37.52,36.33,41.53,-0.0593,-0.0658,-0.0593,0
Princeton Public School District,3291,34.24%,59.78,63.47,43.41,50.83,46.16,48.77,-0.1362,-0.147,-0.1362,0
Minneapolis Public School District,29928,56.44%,42.24,46.88,33.15,42.43,35.79,40.79,-0.0645,-0.0609,-0.0609,0
Pillager Public School District,1324,37.39%,52.81,52.33,51.02,50,57.47,58.23,0.0183,-0.0967,0.0183,1
Centennial Public School District,6851,25.57%,71.55,68.79,63.6,61.78,60.41,62.08,-0.1114,-0.0671,-0.0671,0
Foley Public School District,1921,27.33%,68.31,69.3,54.04,57.38,56.57,56.97,-0.1174,-0.1233,-0.1174,0
Duluth Public School District,8723,39.33%,55.22,62.59,46.04,56.59,45.11,55.73,-0.1011,-0.0686,-0.0686,0
Minnetonka Public School District,11323,10.96%,79.24,81.51,72.57,73.25,74.68,74.6,-0.0456,-0.0691,-0.0456,0
Stewartville Public School District,1976,23.58%,59.7,61.57,46.47,49.59,48.76,51.57,-0.1094,-0.1,-0.1,0
Rosemount-Apple Valley-Eagan,29224,29.47%,63.88,65.27,51.95,56.98,53.27,56.75,-0.1061,-0.0852,-0.0852,0
West St. Paul-Mendota Hts.-Eagan,5452,46.70%,55.02,59.89,41.65,53.75,43.31,53.42,-0.1171,-0.0647,-0.0647,0
